trabajo,nivel_educativo,grupo_etario,estado_civil,total_contactos,total_conversiones,tasa_conversion_pct,duracion_media_minutos,promedio_contactos_por_cliente
admin.,high.school,30-39,single,537,66,12.29,4.21,2.71
admin.,professional.course,30-39,single,42,6,14.29,4.58,2.57
admin.,university.degree,30-39,single,1371,178,12.98,4.15,2.6
blue-collar,basic.4y,30-39,divorced,28,2,7.14,5.49,2.82
blue-collar,basic.6y,30-39,divorced,28,2,7.14,5.45,2.14
blue-collar,basic.9y,30-39,divorced,130,11,8.46,4.86,2.41
blue-collar,high.school,30-39,divorced,30,4,13.33,4.37,2.17
blue-collar,basic.4y,30-39,married,441,18,4.08,4.32,2.84
blue-collar,basic.6y,30-39,married,555,42,7.57,4.44,2.4
blue-collar,basic.9y,30-39,married,1167,70,6.0,4.34,2.53
blue-collar,high.school,30-39,married,227,19,8.37,4.25,2.52
blue-collar,professional.course,30-39,married,153,9,5.88,4.07,2.27
blue-collar,Sin Información,30-39,married,91,6,6.59,4.24,2.87
blue-collar,university.degree,30-39,married,14,1,7.14,5.05,2.36
blue-collar,basic.4y,30-39,single,130,6,4.62,4.21,3.14
blue-collar,basic.6y,30-39,single,91,9,9.89,4.74,2.47
blue-collar,basic.9y,30-39,single,329,25,7.6,4.26,2.6
blue-collar,high.school,30-39,single,195,28,14.36,4.78,2.59
blue-collar,professional.course,30-39,single,45,3,6.67,3.5,3.0
blue-collar,Sin Información,30-39,single,40,2,5.0,4.92,2.48
blue-collar,university.degree,30-39,single,45,2,4.44,3.59,2.67
entrepreneur,basic.6y,30-39,divorced,3,0,0.0,3.46,2.67
entrepreneur,high.school,30-39,divorced,24,2,8.33,4.65,2.33
entrepreneur,university.degree,30-39,divorced,23,2,8.7,2.77,3.13
entrepreneur,basic.6y,30-39,married,35,6,17.14,4.01,2.46
entrepreneur,basic.9y,30-39,married,62,1,1.61,3.99,2.18
entrepreneur,high.school,30-39,married,74,3,4.05,4.62,2.34
entrepreneur,professional.course,30-39,married,35,3,8.57,4.22,2.66
entrepreneur,university.degree,30-39,married,151,14,9.27,4.3,2.62
entrepreneur,basic.9y,30-39,single,17,1,5.88,4.17,2.53
entrepreneur,high.school,30-39,single,8,0,0.0,3.81,3.13
entrepreneur,university.degree,30-39,single,67,10,14.93,4.84,2.49
housemaid,basic.6y,30-39,married,21,1,4.76,3.26,3.29
housemaid,high.school,30-39,married,56,1,1.79,3.33,2.98
housemaid,professional.course,30-39,married,7,0,0.0,2.31,1.43
housemaid,university.degree,30-39,married,39,4,10.26,4.26,2.59
housemaid,university.degree,30-39,single,17,2,11.76,2.53,3.0
management,basic.4y,30-39,divorced,4,0,0.0,3.54,4.0
management,high.school,30-39,divorced,10,1,10.0,5.9,3.2
management,university.degree,30-39,divorced,62,15,24.19,5.24,3.11
management,basic.9y,30-39,married,27,2,7.41,4.34,2.11
management,high.school,30-39,married,77,5,6.49,4.34,2.39
management,university.degree,30-39,married,539,65,12.06,4.13,2.46
management,basic.9y,30-39,single,15,1,6.67,4.6,1.87
management,high.school,30-39,single,29,1,3.45,4.84,1.83
management,university.degree,30-39,single,224,28,12.5,4.24,2.65
retired,basic.9y,30-39,single,2,0,0.0,1.35,4.5
self-employed,basic.9y,30-39,married,79,9,11.39,5.03,2.18
self-employed,high.school,30-39,married,21,0,0.0,3.85,3.48
self-employed,professional.course,30-39,married,39,5,12.82,4.35,2.87
self-employed,university.degree,30-39,married,144,16,11.11,3.75,2.76
self-employed,basic.9y,30-39,single,7,0,0.0,3.74,2.43
self-employed,high.school,30-39,single,24,0,0.0,3.07,1.83
self-employed,university.degree,30-39,single,151,28,18.54,4.79,2.01
services,basic.9y,30-39,divorced,29,1,3.45,4.06,1.9
services,high.school,30-39,divorced,114,2,1.75,3.93,1.92
services,basic.6y,30-39,married,42,6,14.29,5.74,2.4
services,basic.9y,30-39,married,101,10,9.9,4.28,1.9
services,high.school,30-39,married,722,54,7.48,4.49,2.5
services,professional.course,30-39,married,58,5,8.62,3.81,2.83
services,Sin Información,30-39,married,17,1,5.88,4.03,3.65
services,university.degree,30-39,married,36,3,8.33,2.8,2.53
services,basic.6y,30-39,single,28,3,10.71,5.55,2.64
services,basic.9y,30-39,single,49,5,10.2,4.78,2.82
services,high.school,30-39,single,354,31,8.76,4.27,2.84
services,professional.course,30-39,single,26,2,7.69,4.23,1.69
services,Sin Información,30-39,single,14,3,21.43,6.0,2.29
services,university.degree,30-39,single,34,7,20.59,4.48,2.35
Sin Información,university.degree,30-39,divorced,1,0,0.0,1.77,1.0
Sin Información,professional.course,30-39,married,2,0,0.0,6.32,1.0
Sin Información,university.degree,30-39,married,5,0,0.0,2.96,1.8
Sin Información,university.degree,30-39,single,6,0,0.0,2.49,1.83
student,university.degree,30-39,married,4,3,75.0,4.45,2.5
student,basic.9y,30-39,Sin Información,1,0,0.0,2.58,1.0
student,basic.4y,30-39,single,3,0,0.0,7.5,2.0
student,basic.9y,30-39,single,7,0,0.0,5.25,1.71
student,high.school,30-39,single,25,8,32.0,6.76,2.4
student,professional.course,30-39,single,12,2,16.67,5.59,2.92
student,Sin Información,30-39,single,50,14,28.0,5.05,2.14
student,university.degree,30-39,single,56,11,19.64,4.75,2.38
technician,basic.9y,30-39,divorced,14,0,0.0,3.39,1.36
technician,high.school,30-39,divorced,53,5,9.43,2.9,2.75
technician,professional.course,30-39,divorced,179,17,9.5,4.21,2.63
technician,university.degree,30-39,divorced,34,6,17.65,4.56,2.32
technician,basic.6y,30-39,married,22,1,4.55,3.36,2.64
technician,basic.9y,30-39,married,78,7,8.97,4.73,2.22
technician,high.school,30-39,married,216,18,8.33,4.34,2.73
technician,professional.course,30-39,married,876,96,10.96,4.2,2.55
technician,university.degree,30-39,married,480,53,11.04,3.98,2.38
technician,university.degree,30-39,Sin Información,3,2,66.67,7.11,2.0
technician,basic.6y,30-39,single,5,0,0.0,4.04,1.4
technician,basic.9y,30-39,single,35,3,8.57,2.94,2.03
technician,high.school,30-39,single,164,13,7.93,4.46,2.62
technician,professional.course,30-39,single,600,64,10.67,4.14,2.54
technician,Sin Información,30-39,single,27,3,11.11,4.3,2.07
technician,university.degree,30-39,single,527,74,14.04,4.27,2.77
unemployed,high.school,30-39,divorced,15,1,6.67,2.69,1.73
unemployed,basic.6y,30-39,married,8,1,12.5,4.46,2.75
unemployed,basic.9y,30-39,married,44,2,4.55,3.95,2.3
unemployed,high.school,30-39,married,50,9,18.0,4.05,2.08
unemployed,professional.course,30-39,married,38,4,10.53,5.4,2.58
unemployed,Sin Información,30-39,married,4,1,25.0,2.7,2.5
unemployed,university.degree,30-39,married,71,10,14.08,3.47,3.11
unemployed,basic.4y,30-39,single,11,0,0.0,4.27,2.55
unemployed,basic.9y,30-39,single,13,3,23.08,5.67,2.38
unemployed,high.school,30-39,single,31,5,16.13,5.37,3.0
unemployed,professional.course,30-39,single,15,2,13.33,4.19,2.27
unemployed,Sin Información,30-39,single,4,2,50.0,7.9,3.25
unemployed,university.degree,30-39,single,61,14,22.95,3.09,2.03
admin.,professional.course,30-39,divorced,6,2,33.33,4.8,2.0
admin.,high.school,30-39,Sin Información,1,0,0.0,3.03,8.0
blue-collar,professional.course,30-39,divorced,12,1,8.33,4.12,5.0
blue-collar,Sin Información,30-39,divorced,17,1,5.88,5.06,2.41
blue-collar,Sin Información,30-39,Sin Información,1,0,0.0,2.83,2.0
entrepreneur,basic.4y,30-39,divorced,4,0,0.0,8.05,1.5
entrepreneur,university.degree,30-39,Sin Información,2,1,50.0,2.68,2.5
entrepreneur,basic.6y,30-39,single,4,1,25.0,4.79,2.5
housemaid,basic.6y,30-39,divorced,3,0,0.0,4.57,1.67
housemaid,high.school,30-39,divorced,8,1,12.5,4.33,1.88
housemaid,basic.4y,30-39,married,81,1,1.23,3.28,3.09
housemaid,basic.9y,30-39,married,23,2,8.7,4.41,2.0
housemaid,high.school,30-39,single,14,2,14.29,5.45,2.36
housemaid,professional.course,30-39,single,5,0,0.0,2.3,2.4
management,basic.6y,30-39,divorced,2,0,0.0,3.91,4.0
management,professional.course,30-39,single,8,1,12.5,3.05,4.38
self-employed,basic.9y,30-39,divorced,10,0,0.0,2.49,3.1
self-employed,university.degree,30-39,divorced,18,0,0.0,4.59,2.89
self-employed,basic.4y,30-39,married,18,0,0.0,6.19,2.72
self-employed,professional.course,30-39,Sin Información,2,0,0.0,7.4,3.0
self-employed,professional.course,30-39,single,11,1,9.09,3.11,3.09
services,professional.course,30-39,divorced,13,0,0.0,4.34,2.46
Sin Información,high.school,30-39,single,5,1,20.0,5.8,2.2
student,high.school,30-39,married,10,2,20.0,5.2,2.6
technician,Sin Información,30-39,married,31,7,22.58,5.74,1.77
unemployed,basic.4y,30-39,divorced,6,1,16.67,4.52,1.83
unemployed,Sin Información,30-39,divorced,1,0,0.0,3.78,1.0
unemployed,university.degree,30-39,divorced,5,0,0.0,2.94,2.6
admin.,basic.9y,30-39,divorced,15,1,6.67,4.86,3.13
admin.,Sin Información,30-39,single,27,1,3.7,4.33,3.19
blue-collar,university.degree,30-39,divorced,2,0,0.0,1.22,1.5
blue-collar,basic.9y,30-39,Sin Información,2,1,50.0,3.29,3.0
entrepreneur,basic.4y,30-39,married,18,2,11.11,5.45,2.94
entrepreneur,Sin Información,30-39,married,9,1,11.11,5.6,1.56
entrepreneur,professional.course,30-39,single,13,1,7.69,2.8,4.08
housemaid,basic.4y,30-39,single,10,1,10.0,4.04,2.1
housemaid,basic.9y,30-39,single,2,0,0.0,3.46,2.0
management,basic.6y,30-39,married,13,2,15.38,3.58,2.38
management,professional.course,30-39,married,19,1,5.26,4.0,2.05
management,basic.4y,30-39,single,1,0,0.0,1.22,7.0
retired,basic.4y,30-39,married,2,0,0.0,7.83,7.5
retired,high.school,30-39,married,5,1,20.0,4.99,6.8
self-employed,professional.course,30-39,divorced,8,0,0.0,4.56,2.13
self-employed,basic.6y,30-39,married,7,0,0.0,6.64,3.0
services,basic.4y,30-39,married,16,1,6.25,4.87,2.31
Sin Información,basic.6y,30-39,married,5,0,0.0,4.52,1.6
Sin Información,basic.9y,30-39,married,11,0,0.0,3.86,2.0
Sin Información,university.degree,30-39,Sin Información,4,1,25.0,3.81,3.5
Sin Información,basic.6y,30-39,single,4,1,25.0,11.85,2.25
Sin Información,basic.9y,30-39,single,1,0,0.0,5.03,1.0
Sin Información,professional.course,30-39,single,3,1,33.33,12.21,1.0
student,professional.course,30-39,married,6,2,33.33,3.68,1.5
admin.,basic.6y,30-39,single,11,0,0.0,3.05,2.82
housemaid,professional.course,30-39,divorced,2,0,0.0,3.75,1.5
housemaid,university.degree,30-39,divorced,7,2,28.57,6.91,2.14
housemaid,university.degree,30-39,Sin Información,2,0,0.0,1.31,2.0
management,basic.4y,30-39,married,9,1,11.11,3.53,2.89
management,Sin Información,30-39,single,8,1,12.5,6.34,2.25
self-employed,Sin Información,30-39,divorced,1,0,0.0,19.35,4.0
self-employed,basic.4y,30-39,single,8,0,0.0,4.11,2.0
services,Sin Información,30-39,divorced,4,0,0.0,2.87,1.5
services,university.degree,30-39,divorced,11,2,18.18,4.66,1.82
services,high.school,30-39,Sin Información,4,0,0.0,4.38,6.5
Sin Información,Sin Información,30-39,married,11,0,0.0,2.6,3.18
student,professional.course,30-39,divorced,1,1,100.0,18.5,1.0
technician,professional.course,30-39,Sin Información,2,0,0.0,4.09,1.5
unemployed,basic.9y,30-39,divorced,6,1,16.67,7.77,3.67
unemployed,professional.course,30-39,divorced,11,0,0.0,5.93,2.18
unemployed,basic.4y,30-39,married,17,2,11.76,4.17,3.88
admin.,university.degree,30-39,Sin Información,9,1,11.11,4.74,1.22
entrepreneur,Sin Información,30-39,single,1,0,0.0,5.3,1.0
housemaid,Sin Información,30-39,married,2,0,0.0,4.35,2.0
management,professional.course,30-39,divorced,4,0,0.0,1.86,2.0
management,Sin Información,30-39,divorced,4,0,0.0,2.67,2.0
management,Sin Información,30-39,married,14,3,21.43,6.34,4.0
self-employed,illiterate,30-39,married,3,1,33.33,3.62,1.0
services,basic.6y,30-39,divorced,14,1,7.14,5.39,2.07
Sin Información,basic.4y,30-39,divorced,1,0,0.0,1.22,1.0
Sin Información,basic.4y,30-39,married,7,1,14.29,3.55,2.0
student,basic.6y,30-39,divorced,1,0,0.0,7.78,1.0
student,university.degree,30-39,divorced,4,2,50.0,4.5,2.5
technician,basic.6y,30-39,divorced,1,1,100.0,11.93,3.0
technician,Sin Información,30-39,divorced,10,0,0.0,3.21,7.2
admin.,basic.4y,30-39,single,10,0,0.0,5.18,1.6
entrepreneur,professional.course,30-39,divorced,2,1,50.0,10.04,2.0
housemaid,basic.9y,30-39,divorced,9,1,11.11,3.49,1.33
housemaid,Sin Información,30-39,single,1,0,0.0,1.1,1.0
retired,professional.course,30-39,married,2,0,0.0,7.14,1.5
retired,basic.6y,30-39,single,3,0,0.0,4.05,2.0
self-employed,university.degree,30-39,Sin Información,1,0,0.0,3.68,1.0
self-employed,basic.6y,30-39,single,2,0,0.0,2.65,2.0
services,basic.4y,30-39,single,5,1,20.0,10.96,1.4
Sin Información,basic.4y,30-39,single,3,0,0.0,3.21,3.67
student,basic.9y,30-39,married,2,0,0.0,4.39,3.5
technician,basic.4y,30-39,divorced,3,3,100.0,7.01,1.67
unemployed,basic.6y,30-39,single,3,0,0.0,2.03,1.33
entrepreneur,basic.4y,30-39,single,3,1,33.33,1.99,2.0
housemaid,basic.4y,30-39,divorced,4,0,0.0,2.99,1.25
management,basic.6y,30-39,single,1,0,0.0,3.63,2.0
retired,Sin Información,30-39,married,2,0,0.0,2.98,1.5
retired,university.degree,30-39,single,1,0,0.0,1.55,4.0
self-employed,basic.4y,30-39,divorced,4,0,0.0,5.38,1.75
services,basic.4y,30-39,divorced,3,0,0.0,2.17,6.67
Sin Información,Sin Información,30-39,single,1,0,0.0,4.92,2.0
technician,basic.4y,30-39,married,2,1,50.0,9.15,1.5
admin.,basic.4y,30-39,married,3,0,0.0,2.98,1.67
blue-collar,basic.6y,30-39,Sin Información,2,0,0.0,1.95,3.0
management,high.school,30-39,Sin Información,1,0,0.0,1.58,6.0
retired,basic.9y,30-39,divorced,5,0,0.0,3.6,1.4
self-employed,high.school,30-39,divorced,4,3,75.0,3.93,1.75
student,Sin Información,30-39,married,1,0,0.0,1.83,17.0
unemployed,university.degree,30-39,Sin Información,1,0,0.0,1.67,1.0
blue-collar,high.school,30-39,Sin Información,1,0,0.0,5.18,1.0
entrepreneur,basic.9y,30-39,divorced,3,0,0.0,2.74,2.67
self-employed,Sin Información,30-39,married,1,0,0.0,1.97,1.0
self-employed,Sin Información,30-39,single,3,0,0.0,7.42,4.67
Sin Información,high.school,30-39,divorced,3,0,0.0,1.74,1.67
student,Sin Información,30-39,divorced,2,0,0.0,4.27,3.0
management,basic.9y,30-39,divorced,1,0,0.0,1.43,1.0
retired,basic.4y,30-39,divorced,2,0,0.0,3.31,1.5
retired,high.school,30-39,single,2,0,0.0,4.65,2.5
technician,basic.4y,30-39,single,1,0,0.0,6.85,2.0
admin.,basic.6y,40-49,divorced,7,0,0.0,2.78,2.86
admin.,basic.9y,40-49,divorced,28,2,7.14,5.01,2.25
admin.,high.school,40-49,divorced,179,25,13.97,5.16,2.6
admin.,professional.course,40-49,divorced,24,1,4.17,2.83,3.33
admin.,university.degree,40-49,divorced,243,27,11.11,3.96,2.76
admin.,basic.6y,40-49,married,41,5,12.2,4.85,2.27
admin.,basic.9y,40-49,married,112,5,4.46,4.16,2.82
admin.,high.school,40-49,married,482,46,9.54,4.36,2.65
admin.,professional.course,40-49,married,64,4,6.25,3.88,1.81
admin.,Sin Información,40-49,married,60,8,13.33,4.78,2.8
admin.,university.degree,40-49,married,686,83,12.1,4.04,2.83
admin.,basic.9y,40-49,single,22,4,18.18,4.61,2.55
admin.,high.school,40-49,single,188,17,9.04,4.35,2.37
admin.,professional.course,40-49,single,19,2,10.53,3.25,3.42
admin.,Sin Información,40-49,single,20,1,5.0,4.64,3.0
admin.,university.degree,40-49,single,270,29,10.74,4.15,2.77
blue-collar,basic.4y,40-49,divorced,75,4,5.33,4.41,2.59
blue-collar,basic.6y,40-49,divorced,40,2,5.0,4.73,2.8
blue-collar,basic.9y,40-49,divorced,109,3,2.75,4.44,2.19
blue-collar,high.school,40-49,divorced,18,1,5.56,4.97,2.22
blue-collar,professional.course,40-49,divorced,15,3,20.0,2.61,5.27
blue-collar,Sin Información,40-49,divorced,18,1,5.56,3.57,2.78
blue-collar,basic.4y,40-49,married,757,30,3.96,4.39,2.43
blue-collar,basic.6y,40-49,married,419,24,5.73,4.27,2.43
blue-collar,basic.9y,40-49,married,756,49,6.48,4.28,2.6
blue-collar,high.school,40-49,married,130,9,6.92,4.14,2.67
blue-collar,professional.course,40-49,married,104,11,10.58,4.57,3.1
blue-collar,Sin Información,40-49,married,128,7,5.47,4.89,2.65
blue-collar,basic.4y,40-49,single,72,2,2.78,4.18,1.96
blue-collar,basic.6y,40-49,single,47,4,8.51,4.45,2.19
